id,Numero_OV,Item_OV,Produto,Planta,Quantidade,Data,Codigo_Cliente
1,100001,10,PROD_A,PLANTA_1,150,2025-01-15,CLIENTE_001
2,100002,10,PROD_B,PLANTA_1,200,2025-01-20,CLIENTE_002
3,100003,10,PROD_A,PLANTA_2,100,2025-01-18,CLIENTE_001
4,100004,10,PROD_C,PLANTA_1,75,2025-01-25,CLIENTE_003
5,100005,10,PROD_B,PLANTA_2,120,2025-01-22,CLIENTE_002
6,100006,10,PROD_D,PLANTA_1,300,2025-01-28,CLIENTE_004
7,100007,10,PROD_A,PLANTA_3,180,2025-01-30,CLIENTE_001
8,100008,10,PROD_E,PLANTA_2,250,2025-02-01,CLIENTE_005
9,100009,10,PROD_C,PLANTA_3,90,2025-02-03,CLIENTE_003
10,100010,10,PROD_D,PLANTA_2,160,2025-02-05,CLIENTE_004
11,100011,10,PROD_B,PLANTA_3,220,2025-02-07,CLIENTE_002
12,100012,10,PROD_E,PLANTA_1,140,2025-02-10,CLIENTE_005
